Date,Start Time (ET),Visitor,Visitor Points,Home,Home Points,Box Score,Overtime,Attendance,Arena,Notes
2023-01-18,10:00p,Minnesota Timberwolves,118,Denver Nuggets,122,https://www.basketball-reference.com//boxscores/202301180DEN.html,,"16,112",Ball Arena,
2023-01-18,10:30p,Sacramento Kings,116,Los Angeles Lakers,111,https://www.basketball-reference.com//boxscores/202301180LAL.html,,"18,142",Crypto.com Arena,
2023-01-19,3:00p,Chicago Bulls,126,Detroit Pistons,108,https://www.basketball-reference.com//boxscores/202301190DET.html,,"15,885",AccorHotels Arena,
2023-01-19,7:30p,Golden State Warriors,118,Boston Celtics,121,https://www.basketball-reference.com//boxscores/202301190BOS.html,OT,"19,156",TD Garden,
2023-01-19,8:00p,Toronto Raptors,126,Minnesota Timberwolves,128,https://www.basketball-reference.com//boxscores/202301190MIN.html,,"16,318",Target Center,
2023-01-19,10:00p,Brooklyn Nets,112,Phoenix Suns,117,https://www.basketball-reference.com//boxscores/202301190PHO.html,,"17,071",Footprint Center,
2023-01-19,10:00p,Philadelphia 76ers,105,Portland Trail Blazers,95,https://www.basketball-reference.com//boxscores/202301190POR.html,,"18,113",Moda Center,
2023-01-20,7:00p,New Orleans Pelicans,110,Orlando Magic,123,https://www.basketball-reference.com//boxscores/202301200ORL.html,,"19,025",Amway Center,
2023-01-20,7:30p,New York Knicks,124,Atlanta Hawks,139,https://www.basketball-reference.com//boxscores/202301200ATL.html,,"17,711",State Farm Arena,
2023-01-20,7:30p,Golden State Warriors,120,Cleveland Cavaliers,114,https://www.basketball-reference.com//boxscores/202301200CLE.html,,"19,432",Rocket Mortgage Fieldhouse,
2023-01-20,7:30p,Miami Heat,90,Dallas Mavericks,115,https://www.basketball-reference.com//boxscores/202301200DAL.html,,"20,326",American Airlines Center,
2023-01-20,8:00p,Los Angeles Clippers,131,San Antonio Spurs,126,https://www.basketball-reference.com//boxscores/202301200SAS.html,,"15,190",AT&T Center,
2023-01-20,9:00p,Indiana Pacers,111,Denver Nuggets,134,https://www.basketball-reference.com//boxscores/202301200DEN.html,,"19,609",Ball Arena,
2023-01-20,9:00p,Brooklyn Nets,117,Utah Jazz,106,https://www.basketball-reference.com//boxscores/202301200UTA.html,,"18,206",Vivint Arena,
2023-01-20,10:00p,Memphis Grizzlies,121,Los Angeles Lakers,122,https://www.basketball-reference.com//boxscores/202301200LAL.html,,"18,997",Crypto.com Arena,
2023-01-20,10:00p,Oklahoma City Thunder,113,Sacramento Kings,118,https://www.basketball-reference.com//boxscores/202301200SAC.html,,"17,932",Golden 1 Center,
2023-01-21,5:00p,Boston Celtics,106,Toronto Raptors,104,https://www.basketball-reference.com//boxscores/202301210TOR.html,,"19,800",Scotiabank Arena,
2023-01-21,7:00p,Orlando Magic,118,Washington Wizards,138,https://www.basketball-reference.com//boxscores/202301210WAS.html,,"18,171",Capital One Arena,
2023-01-21,7:30p,Charlotte Hornets,122,Atlanta Hawks,118,https://www.basketball-reference.com//boxscores/202301210ATL.html,,"17,928",State Farm Arena,
2023-01-21,7:30p,Milwaukee Bucks,102,Cleveland Cavaliers,114,https://www.basketball-reference.com//boxscores/202301210CLE.html,,"19,432",Rocket Mortgage Fieldhouse,
2023-01-21,8:00p,Houston Rockets,104,Minnesota Timberwolves,113,https://www.basketball-reference.com//boxscores/202301210MIN.html,,"17,136",Target Center,
2023-01-21,9:00p,Indiana Pacers,107,Phoenix Suns,112,https://www.basketball-reference.com//boxscores/202301210PHO.html,,"17,071",Footprint Center,
2023-01-21,10:00p,Philadelphia 76ers,129,Sacramento Kings,127,https://www.basketball-reference.com//boxscores/202301210SAC.html,,"17,861",Golden 1 Center,
2023-01-22,2:30p,Los Angeles Clippers,112,Dallas Mavericks,98,https://www.basketball-reference.com//boxscores/202301220DAL.html,,"20,026",American Airlines Center,
2023-01-22,3:30p,New Orleans Pelicans,96,Miami Heat,100,https://www.basketball-reference.com//boxscores/202301220MIA.html,,"19,600",Kaseya Center,
2023-01-22,6:00p,New York Knicks,116,Toronto Raptors,125,https://www.basketball-reference.com//boxscores/202301220TOR.html,,"19,261",Scotiabank Arena,
2023-01-22,8:00p,Oklahoma City Thunder,101,Denver Nuggets,99,https://www.basketball-reference.com//boxscores/202301220DEN.html,,"19,557",Ball Arena,
2023-01-22,8:00p,Memphis Grizzlies,110,Phoenix Suns,112,https://www.basketball-reference.com//boxscores/202301220PHO.html,,"17,071",Footprint Center,
2023-01-22,8:30p,Brooklyn Nets,120,Golden State Warriors,116,https://www.basketball-reference.com//boxscores/202301220GSW.html,,"18,064",Chase Center,
2023-01-22,9:00p,Los Angeles Lakers,121,Portland Trail Blazers,112,https://www.basketball-reference.com//boxscores/202301220POR.html,,"19,393",Moda Center,
2023-01-23,7:00p,Milwaukee Bucks,150,Detroit Pistons,130,https://www.basketball-reference.com//boxscores/202301230DET.html,,"18,011",Little Caesars Arena,
2023-01-23,7:00p,Boston Celtics,98,Orlando Magic,113,https://www.basketball-reference.com//boxscores/202301230ORL.html,,"19,196",Amway Center,
2023-01-23,8:00p,Atlanta Hawks,100,Chicago Bulls,111,https://www.basketball-reference.com//boxscores/202301230CHI.html,,"20,938",United Center,
2023-01-23,8:00p,Minnesota Timberwolves,114,Houston Rockets,119,https://www.basketball-reference.com//boxscores/202301230HOU.html,,"13,811",Toyota Center,
2023-01-23,9:00p,Charlotte Hornets,102,Utah Jazz,120,https://www.basketball-reference.com//boxscores/202301230UTA.html,,"18,206",Vivint Arena,
2023-01-23,10:00p,San Antonio Spurs,127,Portland Trail Blazers,147,https://www.basketball-reference.com//boxscores/202301230POR.html,,"17,874",Moda Center,
2023-01-23,10:30p,Memphis Grizzlies,100,Sacramento Kings,133,https://www.basketball-reference.com//boxscores/202301230SAC.html,,"17,821",Golden 1 Center,
2023-01-24,7:00p,Chicago Bulls,110,Indiana Pacers,116,https://www.basketball-reference.com//boxscores/202301240IND.html,,"16,102",Gainbridge Fieldhouse,
2023-01-24,7:30p,Boston Celtics,95,Miami Heat,98,https://www.basketball-reference.com//boxscores/202301240MIA.html,,"19,705",Kaseya Center,
2023-01-24,7:30p,Cleveland Cavaliers,103,New York Knicks,105,https://www.basketball-reference.com//boxscores/202301240NYK.html,,"19,812",Madison Square Garden (IV),
2023-01-24,8:00p,Denver Nuggets,99,New Orleans Pelicans,98,https://www.basketball-reference.com//boxscores/202301240NOP.html,,"14,699",Smoothie King Center,
2023-01-24,8:30p,Washington Wizards,127,Dallas Mavericks,126,https://www.basketball-reference.com//boxscores/202301240DAL.html,,"20,077",American Airlines Center,
2023-01-24,9:00p,Charlotte Hornets,97,Phoenix Suns,128,https://www.basketball-reference.com//boxscores/202301240PHO.html,,"17,071",Footprint Center,
2023-01-24,10:00p,Los Angeles Clippers,133,Los Angeles Lakers,115,https://www.basketball-reference.com//boxscores/202301240LAL.html,,"17,604",Crypto.com Arena,
2023-01-25,7:00p,Indiana Pacers,120,Orlando Magic,126,https://www.basketball-reference.com//boxscores/202301250ORL.html,,"18,846",Amway Center,
2023-01-25,7:30p,Brooklyn Nets,133,Philadelphia 76ers,137,https://www.basketball-reference.com//boxscores/202301250PHI.html,,"19,772",Wells Fargo Center,
2023-01-25,8:00p,Washington Wizards,108,Houston Rockets,103,https://www.basketball-reference.com//boxscores/202301250HOU.html,,"15,302",Toyota Center,
2023-01-25,8:00p,Denver Nuggets,99,Milwaukee Bucks,107,https://www.basketball-reference.com//boxscores/202301250MIL.html,,"17,352",Fiserv Forum,
2023-01-25,8:00p,Minnesota Timberwolves,111,New Orleans Pelicans,102,https://www.basketball-reference.com//boxscores/202301250NOP.html,,"14,887",Smoothie King Center,
2023-01-25,8:00p,Atlanta Hawks,137,Oklahoma City Thunder,132,https://www.basketball-reference.com//boxscores/202301250OKC.html,,"15,079",Paycom Center,
2023-01-25,10:00p,Memphis Grizzlies,120,Golden State Warriors,122,https://www.basketball-reference.com//boxscores/202301250GSW.html,,"18,064",Chase Center,
2023-01-25,10:00p,Utah Jazz,124,Portland Trail Blazers,134,https://www.basketball-reference.com//boxscores/202301250POR.html,,"18,154",Moda Center,
2023-01-25,10:00p,Toronto Raptors,113,Sacramento Kings,95,https://www.basketball-reference.com//boxscores/202301250SAC.html,,"17,767",Golden 1 Center,
2023-01-25,10:30p,San Antonio Spurs,104,Los Angeles Lakers,113,https://www.basketball-reference.com//boxscores/202301250LAL.html,,"17,955",Crypto.com Arena,
2023-01-26,7:30p,New York Knicks,120,Boston Celtics,117,https://www.basketball-reference.com//boxscores/202301260BOS.html,OT,"19,156",TD Garden,
2023-01-26,7:30p,Detroit Pistons,130,Brooklyn Nets,122,https://www.basketball-reference.com//boxscores/202301260BRK.html,,"17,732",Barclays Center,
2023-01-26,7:30p,Chicago Bulls,96,Charlotte Hornets,111,https://www.basketball-reference.com//boxscores/202301260CHO.html,,"17,697",Spectrum Center,
2023-01-26,8:00p,Cleveland Cavaliers,113,Houston Rockets,95,https://www.basketball-reference.com//boxscores/202301260HOU.html,,"16,327",Toyota Center,
2023-01-26,10:00p,Dallas Mavericks,99,Phoenix Suns,95,https://www.basketball-reference.com//boxscores/202301260PHO.html,,"17,071",Footprint Center,
2023-01-26,10:30p,San Antonio Spurs,100,Los Angeles Clippers,138,https://www.basketball-reference.com//boxscores/202301260LAC.html,,"16,958",Crypto.com Arena,
2023-01-27,7:00p,Milwaukee Bucks,141,Indiana Pacers,131,https://www.basketball-reference.com//boxscores/202301270IND.html,,"16,090",Gainbridge Fieldhouse,
2023-01-27,7:30p,Memphis Grizzlies,100,Minnesota Timberwolves,111,https://www.basketball-reference.com//boxscores/202301270MIN.html,,"17,136",Target Center,
2023-01-27,8:00p,Orlando Magic,105,Miami Heat,110,https://www.basketball-reference.com//boxscores/202301270MIA.html,,"19,788",Kaseya Center,
2023-01-27,8:00p,Cleveland Cavaliers,100,Oklahoma City Thunder,112,https://www.basketball-reference.com//boxscores/202301270OKC.html,,"16,236",Paycom Center,
2023-01-27,10:00p,Toronto Raptors,117,Golden State Warriors,129,https://www.basketball-reference.com//boxscores/202301270GSW.html,,"18,064",Chase Center,
2023-01-28,3:00p,Denver Nuggets,119,Philadelphia 76ers,126,https://www.basketball-reference.com//boxscores/202301280PHI.html,,"21,255",Wells Fargo Center,
2023-01-28,5:30p,New York Knicks,115,Brooklyn Nets,122,https://www.basketball-reference.com//boxscores/202301280BRK.html,,"18,100",Barclays Center,
2023-01-28,7:00p,Houston Rockets,117,Detroit Pistons,114,https://www.basketball-reference.com//boxscores/202301280DET.html,,"19,411",Little Caesars Arena,
2023-01-28,7:00p,Chicago Bulls,128,Orlando Magic,109,https://www.basketball-reference.com//boxscores/202301280ORL.html,,"18,846",Amway Center,
2023-01-28,7:30p,Los Angeles Clippers,120,Atlanta Hawks,113,https://www.basketball-reference.com//boxscores/202301280ATL.html,,"18,448",State Farm Arena,
2023-01-28,8:00p,Sacramento Kings,110,Minnesota Timberwolves,117,https://www.basketball-reference.com//boxscores/202301280MIN.html,,"17,136",Target Center,
2023-01-28,8:00p,Washington Wizards,113,New Orleans Pelicans,103,https://www.basketball-reference.com//boxscores/202301280NOP.html,,"17,692",Smoothie King Center,
2023-01-28,8:00p,Phoenix Suns,128,San Antonio Spurs,118,https://www.basketball-reference.com//boxscores/202301280SAS.html,OT,"18,354",AT&T Center,
2023-01-28,8:30p,Los Angeles Lakers,121,Boston Celtics,125,https://www.basketball-reference.com//boxscores/202301280BOS.html,OT,"19,156",TD Garden,
2023-01-28,9:00p,Dallas Mavericks,100,Utah Jazz,108,https://www.basketball-reference.com//boxscores/202301280UTA.html,,"18,206",Vivint Arena,
2023-01-28,10:00p,Toronto Raptors,123,Portland Trail Blazers,105,https://www.basketball-reference.com//boxscores/202301280POR.html,,"19,393",Moda Center,
2023-01-29,1:00p,Miami Heat,117,Charlotte Hornets,122,https://www.basketball-reference.com//boxscores/202301290CHO.html,,"19,254",Spectrum Center,
2023-01-29,6:00p,Indiana Pacers,100,Memphis Grizzlies,112,https://www.basketball-reference.com//boxscores/202301290MEM.html,,"17,794",FedEx Forum,
2023-01-29,7:00p,Los Angeles Clippers,99,Cleveland Cavaliers,122,https://www.basketball-reference.com//boxscores/202301290CLE.html,,"19,432",Rocket Mortgage Fieldhouse,
2023-01-29,8:00p,New Orleans Pelicans,110,Milwaukee Bucks,135,https://www.basketball-reference.com//boxscores/202301290MIL.html,,"17,341",Fiserv Forum,
2023-01-30,7:00p,Orlando Magic,119,Philadelphia 76ers,109,https://www.basketball-reference.com//boxscores/202301300PHI.html,,"19,812",Wells Fargo Center,
2023-01-30,7:30p,Los Angeles Lakers,104,Brooklyn Nets,121,https://www.basketball-reference.com//boxscores/202301300BRK.html,,"17,924",Barclays Center,
2023-01-30,8:00p,Sacramento Kings,118,Minnesota Timberwolves,111,https://www.basketball-reference.com//boxscores/202301300MIN.html,OT,"15,342",Target Center,
